DEPCOM;NOM_COM;NB_IRIS
91021;Arpajon;4
91027;Athis-Mons;14
91086;Bondoufle;7
91103;Brétigny-sur-Orge;7
91105;Breuillet;3
91114;Brunoy;5
91122;Bures-sur-Yvette;4
91161;Chilly-Mazarin;8
91174;Corbeil-Essonnes;17
91182;Courcouronnes;7
91191;Crosne;4
91200;Dourdan;4
91201;Draveil;11
91215;Épinay-sous-Sénart;4
91216;Épinay-sur-Orge;5
91223;Étampes;9
91228;Évry;22
91235;Fleury-Mérogis;3
91272;Gif-sur-Yvette;10
91286;Grigny;9
91312;Igny;4
91326;Juvisy-sur-Orge;5
91340;Lisses;7
91345;Longjumeau;8
91363;Marcoussis;3
91377;Massy;13
91386;Mennecy;5
91421;Montgeron;10
91432;Morangis;4
91434;Morsang-sur-Orge;8
91471;Orsay;6
91477;Palaiseau;9
91479;Paray-Vieille-Poste;4
91521;Ris-Orangis;12
91549;Sainte-Geneviève-des-Bois;15
91552;Saint-Germain-lès-Arpajon;4
91553;Saint-Germain-lès-Corbeil;3
91570;Saint-Michel-sur-Orge;8
91589;Savigny-sur-Orge;16
91600;Soisy-sur-Seine;3
91645;Verrières-le-Buisson;9
91657;Vigneux-sur-Seine;10
91661;Villebon-sur-Yvette;3
91687;Viry-Châtillon;12
91691;Yerres;7
91692;Les Ulis;8
