DEPCOM;NOM_COM;NB_IRIS
92002;Antony;27
92004;Asnières-sur-Seine;32
92007;Bagneux;17
92009;Bois-Colombes;12
92012;Boulogne-Billancourt;42
92014;Bourg-la-Reine;8
92019;Châtenay-Malabry;14
92020;Châtillon;11
92022;Chaville;9
92023;Clamart;21
92024;Clichy;22
92025;Colombes;33
92026;Courbevoie;31
92032;Fontenay-aux-Roses;11
92033;Garches;8
92035;La Garenne-Colombes;11
92036;Gennevilliers;19
92040;Issy-les-Moulineaux;18
92044;Levallois-Perret;24
92046;Malakoff;11
92048;Meudon;19
92049;Montrouge;17
92050;Nanterre;38
92051;Neuilly-sur-Seine;26
92060;Le Plessis-Robinson;9
92062;Puteaux;18
92063;Rueil-Malmaison;31
92064;Saint-Cloud;12
92071;Sceaux;8
92072;Sèvres;10
92073;Suresnes;15
92075;Vanves;11
92076;Vaucresson;4
92077;Ville-d'Avray;6
92078;Villeneuve-la-Garenne;10
