DEPCOM;NOM_COM;NB_IRIS
95018;Argenteuil;37
95019;Arnouville;6
95039;Auvers-sur-Oise;3
95051;Beauchamp;5
95052;Beaumont-sur-Oise;4
95060;Bessancourt;3
95063;Bezons;11
95091;Bouffémont;3
95127;Cergy;27
95176;Cormeilles-en-Parisis;6
95197;Deuil-la-Barre;9
95199;Domont;7
95203;Eaubonne;10
95205;Écouen;3
95210;Enghien-les-Bains;5
95218;Éragny;8
95219;Ermont;12
95229;Ézanville;4
95250;Fosses;4
95252;Franconville;16
95268;Garges-lès-Gonesse;15
95277;Gonesse;12
95280;Goussainville;11
95288;Groslay;3
95306;Herblay;9
95313;L'Isle-Adam;5
95323;Jouy-le-Moutier;7
95351;Louvres;3
95371;Marly-la-Ville;2
95388;Menucourt;2
95394;Méry-sur-Oise;4
95424;Montigny-lès-Cormeilles;7
95427;Montmagny;7
95428;Montmorency;11
95476;Osny;8
95480;Parmain;2
95487;Persan;5
95488;Pierrelaye;6
95491;Le Plessis-Bouchard;5
95500;Pontoise;10
95539;Saint-Brice-sous-Forêt;7
95555;Saint-Gratien;8
95563;Saint-Leu-la-Forêt;7
95572;Saint-Ouen-l'Aumône;11
95574;Saint-Prix;4
95582;Sannois;10
95585;Sarcelles;25
95598;Soisy-sous-Montmorency;7
95607;Taverny;13
95637;Vauréal;6
95680;Villiers-le-Bel;14
