DEPCOM;NOM_COM;NB_IRIS
93001;Aubervilliers;28
93005;Aulnay-sous-Bois;36
93006;Bagnolet;16
93007;Le Blanc-Mesnil;21
93008;Bobigny;19
93010;Bondy;22
93013;Le Bourget;7
93014;Clichy-sous-Bois;13
93027;La Courneuve;14
93029;Drancy;29
93030;Dugny;4
93031;Épinay-sur-Seine;19
93032;Gagny;17
93033;Gournay-sur-Marne;3
93039;L'Île-Saint-Denis;3
93045;Les Lilas;10
93046;Livry-Gargan;18
93047;Montfermeil;12
93048;Montreuil;41
93049;Neuilly-Plaisance;9
93050;Neuilly-sur-Marne;15
93051;Noisy-le-Grand;21
93053;Noisy-le-Sec;17
93055;Pantin;18
93057;Les Pavillons-sous-Bois;9
93059;Pierrefitte-sur-Seine;9
93061;Le Pré-Saint-Gervais;7
93062;Le Raincy;6
93063;Romainville;11
93064;Rosny-sous-Bois;17
93066;Saint-Denis;39
93070;Saint-Ouen;18
93071;Sevran;21
93072;Stains;16
93073;Tremblay-en-France;13
93074;Vaujours;2
93077;Villemomble;12
93078;Villepinte;16
93079;Villetaneuse;5
