DEPCOM;REG;DEP;DEPARR;DEPPCT;LIBMIN;RGP2012;RGP2007;RGP1999
77096;11;77;772;7705;Chartrettes;2588;2527;2391
77097;11;77;773;7711;Chartronges;292;267;270
77098;11;77;773;7723;Ch‰teaubleau;343;311;263
77099;11;77;774;7704;Ch‰teau-Landon;3142;3072;3364
77100;11;77;772;7705;Le Ch‰telet-en-Brie;4401;4405;4532
77101;11;77;773;7710;Ch‰tenay-sur-Seine;964;897;950
77102;11;77;774;7724;Ch‰tenoy;160;139;134
77103;11;77;772;7705;Ch‰tillon-la-Borde;217;220;204
77104;11;77;772;7728;Ch‰tres;608;575;555
77106;11;77;773;7726;Chauffry;1025;909;850
77107;11;77;772;7728;Chaumes-en-Brie;3011;2982;2743
77108;11;77;775;7797;Chelles;53247;51035;45399
77109;11;77;773;7725;Chenoise;1309;1249;1200
77110;11;77;774;7704;Chenou;316;282;293
77111;11;77;775;7743;Chessy;4517;3438;1667
77112;11;77;774;7724;Chevrainvilliers;222;222;226
77113;11;77;773;7711;Chevru;1083;1073;855
77114;11;77;772;7702;Chevry-Cossigny;3933;3649;3315
77115;11;77;774;7716;Chevry-en-Sereine;516;451;454
77116;11;77;773;7711;Choisy-en-Brie;1365;1302;1152
77117;11;77;771;7712;Citry;817;749;682
77118;11;77;775;7706;Claye-Souilly;11299;11251;10152
77119;11;77;772;7722;Clos-Fontaine;268;250;270
77120;11;77;771;7715;Cocherel;621;570;484
77121;11;77;775;7735;Coll?gien;3150;3149;2983
77122;11;77;772;7741;Combs-la-Ville;22031;21450;20953
77123;11;77;771;7737;Compans;795;708;724
77124;11;77;775;7743;Conches-sur-Gondoire;1729;1722;1716
77125;11;77;771;7708;Cond?-Sainte-Libiaire;1418;1410;1344
77126;11;77;771;7715;Congis-sur-Th?rouanne;1772;1764;1516
77127;11;77;772;7702;Coubert;2020;1752;1275
77128;11;77;771;7708;Couilly-Pont-aux-Dames;2169;2042;1897
77129;11;77;771;7715;Coulombs-en-Valois;626;583;563
77130;11;77;771;7708;Coulommes;411;410;394
77131;11;77;771;7707;Coulommiers;14708;13649;13852
