DEPCOM;REG;DEP;DEPARR;DEPPCT;LIBMIN;RGP2012;RGP2007;RGP1999
77475;11;77;771;7731;Trilport;4898;4817;4602
77476;11;77;771;7715;Trocy-en-Multien;256;261;225
77477;11;77;774;7703;Ury;804;828;757
77478;11;77;771;7712;Ussy-sur-Marne;1012;940;841
77479;11;77;775;7736;Vaires-sur-Marne;13273;11765;11772
77480;11;77;772;7705;Valence-en-Brie;896;870;653
77481;11;77;773;7723;Vanvill?;158;176;184
77482;11;77;773;7720;Varennes-sur-Seine;3406;3170;3153
77483;11;77;771;7717;Varreddes;1856;1872;1810
77484;11;77;771;7708;Vaucourtois;217;210;202
77485;11;77;774;7703;Le Vaudou?;761;744;717
77486;11;77;773;7727;Vaudoy-en-Brie;861;805;675
77487;11;77;772;7718;Vaux-le-P?nil;10730;11377;10688
77489;11;77;774;7716;Vaux-sur-Lunain;206;197;192
77490;11;77;771;7715;Vendrest;728;711;609
77491;11;77;774;7721;Veneux-les-Sablons;4802;4743;4617
77492;11;77;773;7726;Verdelot;706;742;653
77493;11;77;772;7722;Verneuil-l'ƒtang;3203;3058;3135
77494;11;77;774;7721;Vernou-la-Celle-sur-Seine;2691;2673;2499
77495;11;77;772;7742;Vert-Saint-Denis;7007;7081;7493
77496;11;77;773;7723;Vieux-Champagne;183;173;190
77498;11;77;771;7731;Vignely;264;235;159
77500;11;77;774;7716;Villeb?on;468;463;406
77501;11;77;774;7721;Villecerf;700;809;738
77504;11;77;774;7716;Villemar?chal;832;841;791
77505;11;77;771;7708;Villemareuil;401;377;352
77506;11;77;774;7721;Villemer;693;652;648
77507;11;77;773;7701;Villenauxe-la-Petite;502;456;372
77508;11;77;773;7727;Villeneuve-le-Comte;1826;1760;1683
77509;11;77;773;7710;Villeneuve-les-Bordes;606;570;579
77510;11;77;773;7727;Villeneuve-Saint-Denis;741;696;670
77511;11;77;771;7709;Villeneuve-sous-Dammartin;646;609;534
77512;11;77;773;7726;Villeneuve-sur-Bellot;1141;1144;1070
77513;11;77;771;7731;Villenoy;4168;4039;3542
77514;11;77;775;7706;Villeparisis;25556;23368;21296
77515;11;77;771;7737;Villeroy;706;666;587
77516;11;77;774;7721;Ville-Saint-Jacques;722;715;673
77517;11;77;775;7706;Villevaud?;2040;1680;1599
77518;11;77;772;7732;Villiers-en-Bière;224;215;196
77519;11;77;773;7729;Villiers-Saint-Georges;1209;1138;1030
77520;11;77;774;7703;Villiers-sous-Grez;750;763;764
77521;11;77;771;7708;Villiers-sur-Morin;1911;1684;1527
77522;11;77;773;7701;Villiers-sur-Seine;303;333;316
77523;11;77;773;7701;Villuis;264;252;222
77524;11;77;773;7710;Vimpelles;508;477;438
77525;11;77;771;7709;Vinantes;363;333;287
77526;11;77;771;7715;Vincy-Manoeuvre;229;198;193
77527;11;77;773;7727;Voinsles;593;551;500
77528;11;77;772;7718;Voisenon;1008;1108;1027
77529;11;77;771;7708;Voulangis;1544;1453;1261
77530;11;77;773;7729;Voulton;299;310;293
77531;11;77;774;7716;Voulx;1750;1750;1763
77532;11;77;773;7725;Vulaines-lès-Provins;69;61;67
77533;11;77;774;7713;Vulaines-sur-Seine;2645;2466;2065
77534;11;77;772;7722;Yèbles;662;593;558
78003;11;78;782;7819;Ablis;3255;3201;2705
78005;11;78;783;7820;Achères;19469;19789;18942
78006;11;78;781;7808;Adainville;756;773;824
78007;11;78;783;7821;Aigremont;1120;1075;873
78009;11;78;782;7819;Allainville;292;308;293
78010;11;78;783;7817;Les Alluets-le-Roi;1218;1200;1270
78013;11;78;781;7807;Andelu;478;474;370
78015;11;78;783;7839;Andr?sy;11991;12501;12485
78020;11;78;781;7807;Arnouville-lès-Mantes;876;816;742
78029;11;78;781;7801;Aubergenville;11622;12189;11667
78030;11;78;782;7818;Auffargis;1979;1951;1859
78031;11;78;781;7807;Auffreville-Brasseuil;612;604;586
78033;11;78;781;7801;Aulnay-sur-Mauldre;1155;1151;1105
78034;11;78;782;7815;Auteuil;879;913;864
78036;11;78;782;7815;Autouillet;476;461;348
78043;11;78;783;7822;Bailly;3894;3999;4094
78048;11;78;781;7808;Bazainville;1438;1354;1192
78049;11;78;781;7801;Bazemont;1506;1527;1526
78050;11;78;782;7815;Bazoches-sur-Guyonne;567;590;477
78053;11;78;782;7815;B?houst;491;449;374
78057;11;78;781;7802;Bennecourt;1813;1780;1784
78062;11;78;782;7815;Beynes;7625;7501;7200
78068;11;78;781;7802;Blaru;930;932;802
78070;11;78;781;7807;Boinville-en-Mantois;321;295;296
78071;11;78;782;7819;Boinville-le-Gaillard;614;583;496
78072;11;78;781;7807;Boinvilliers;259;265;280
78073;11;78;784;7836;Bois-d'Arcy;13813;13505;12064
78076;11;78;781;7808;Boissets;261;265;215
78077;11;78;782;7818;La Boissière-ƒcole;753;771;725
78082;11;78;781;7802;Boissy-Mauvoisin;623;629;526
78084;11;78;782;7815;Boissy-sans-Avoir;583;601;519
78087;11;78;782;7819;Bonnelles;1931;2035;2162
78089;11;78;781;7802;Bonnières-sur-Seine;4552;4028;3993
78090;11;78;781;7801;Bouafle;2092;2159;2016
78092;11;78;783;7803;Bougival;8498;8416;8432
78096;11;78;781;7808;Bourdonn?;510;469;427
78104;11;78;781;7807;Breuil-Bois-Robert;717;701;663
78107;11;78;781;7802;Br?val;1906;1897;1646
78108;11;78;782;7818;Les Br?viaires;1259;1021;1024
78113;11;78;781;7810;Brueil-en-Vexin;679;655;532
78117;11;78;784;7829;Buc;5462;5455;5764
78118;11;78;781;7833;Buchelay;2619;2243;2203
78120;11;78;782;7819;Bullion;1950;1951;1799
78123;11;78;783;7816;Carrières-sous-Poissy;14943;13976;13472
78124;11;78;783;7809;Carrières-sur-Seine;15087;15651;12050
78125;11;78;782;7819;La Celle-les-Bordes;885;924;842
78126;11;78;783;7803;La Celle-Saint-Cloud;21132;20999;21527
78128;11;78;782;7805;Cernay-la-Ville;1641;1641;1727
78133;11;78;783;7821;Chambourcy;5857;5844;5077
78138;11;78;783;7839;Chanteloup-les-Vignes;9906;9081;9544
78140;11;78;781;7814;Chapet;1209;1184;1124
78143;11;78;784;7829;Ch‰teaufort;1401;1405;1453
78146;11;78;783;7804;Chatou;30585;30063;28588
78147;11;78;781;7802;Chaufour-lès-Bonnières;444;405;413
78152;11;78;783;7822;Chavenay;1878;1840;1752
78158;11;78;784;7832;Le Chesnay;28980;29405;28530
78160;11;78;782;7805;Chevreuse;5789;5686;5364
78162;11;78;782;7805;Choisel;538;522;538
78163;11;78;781;7808;Civry-la-Forêt;367;331;310
78164;11;78;782;7819;Clairefontaine-en-Yvelines;805;787;800
78165;11;78;784;7838;Les Clayes-sous-Bois;17658;17275;17059
78168;11;78;782;7834;Coignières;4384;4411;4231
78171;11;78;781;7808;Cond?-sur-Vesgre;1159;1041;1038
78172;11;78;783;7806;Conflans-Sainte-Honorine;35135;33888;33327
78185;11;78;781;7808;Courgent;396;392;403
78188;11;78;781;7802;Cravent;427;390;325
78189;11;78;783;7817;Crespières;1561;1657;1466
78190;11;78;783;7804;Croissy-sur-Seine;10063;10100;9835
78192;11;78;781;7808;Dammartin-en-Serve;1081;988;943
78193;11;78;782;7805;Dampierre-en-Yvelines;1087;1149;1051
78194;11;78;781;7808;Dannemarie;242;249;261
78196;11;78;783;7817;Davron;322;373;303
78202;11;78;781;7810;Drocourt;546;475;407
78206;11;78;781;7801;Ecquevilly;3987;4253;4208
78208;11;78;782;7834;ƒlancourt;26488;27613;26655
78209;11;78;782;7818;ƒmanc?;869;795;738
78217;11;78;781;7807;ƒp™ne;6467;6345;6418
78220;11;78;782;7818;Les Essarts-le-Roi;6513;6200;6126
78224;11;78;783;7822;L' ƒtang-la-Ville;4688;4777;4496
78227;11;78;781;7814;ƒvecquemont;786;775;672
78230;11;78;781;7807;La Falaise;596;617;607
78231;11;78;781;7802;Favrieux;151;134;124
78233;11;78;783;7822;Feucherolles;2826;3015;2806
78234;11;78;781;7807;Flacourt;134;147;127
78236;11;78;782;7815;Flexanville;578;563;525
78237;11;78;781;7808;Flins-Neuve-ƒglise;161;165;150
78238;11;78;781;7801;Flins-sur-Seine;2353;2396;2207
78239;11;78;781;7810;Follainville-Dennemont;1857;1871;1912
78242;11;78;784;7836;Fontenay-le-Fleury;12823;12974;12582
78245;11;78;781;7802;Fontenay-Mauvoisin;419;420;302
78246;11;78;781;7810;Fontenay-Saint-Père;990;990;987
78251;11;78;783;7835;Fourqueux;4055;4173;4161
78255;11;78;781;7802;Freneuse;4028;3823;3592
78261;11;78;781;7814;Gaillon-sur-Montcient;672;673;646
78262;11;78;782;7815;Galluis;1138;1125;1051
78263;11;78;781;7808;Gambais;2423;2383;2064
78264;11;78;782;7818;Gambaiseuil;71;63;54
78265;11;78;782;7815;Garancières;2382;2324;2242
78267;11;78;781;7810;Gargenville;6824;6732;6611
78269;11;78;782;7818;Gazeran;1265;1161;1156
78276;11;78;781;7802;Gommecourt;672;643;567
78278;11;78;782;7815;Goupillières;491;432;381
78281;11;78;781;7807;Goussonville;614;595;557
78283;11;78;781;7808;Grandchamp;319;299;232
78285;11;78;781;7808;Gressey;547;535;475
78289;11;78;782;7815;Grosrouvre;984;834;763
78290;11;78;781;7810;Guernes;1032;940;827
78291;11;78;781;7807;Guerville;2139;1997;1899
78296;11;78;781;7810;Guitrancourt;651;625;612
78297;11;78;784;7828;Guyancourt;28039;28563;25079
78299;11;78;781;7814;Hardricourt;2070;1978;1918
78300;11;78;781;7807;Hargeville;421;371;319
78302;11;78;781;7808;La Hauteville;176;177;159
78305;11;78;781;7801;Herbeville;263;276;312
78307;11;78;782;7818;Hermeray;953;926;831
78310;11;78;781;7808;Houdan;3381;3181;3112
78311;11;78;783;7809;Houilles;32399;30973;29634
78314;11;78;781;7810;Issou;4455;4470;3382
78317;11;78;781;7810;Jambville;831;770;623
78320;11;78;781;7802;Jeufosse;429;438;346
78321;11;78;782;7815;Jouars-Pontchartrain;5289;5145;4569
78322;11;78;784;7829;Jouy-en-Josas;8251;8081;7946
78324;11;78;781;7802;Jouy-Mauvoisin;557;522;505
78325;11;78;781;7807;Jumeauville;590;584;554
78327;11;78;781;7810;Juziers;3817;3668;3370
78329;11;78;781;7810;Lainville-en-Vexin;824;787;753
78334;11;78;782;7805;L?vis-Saint-Nom;1690;1732;1696
78335;11;78;781;7810;Limay;16128;15873;15709
78337;11;78;781;7802;Limetz-Villez;1918;1919;1753
78343;11;78;784;7829;Les Loges-en-Josas;1550;1464;1451
78344;11;78;781;7802;Lommoye;662;606;525
78346;11;78;781;7808;Longnes;1464;1473;1360
78349;11;78;782;7819;Longvilliers;505;493;442
78350;11;78;783;7813;Louveciennes;7120;7247;7111
78354;11;78;781;7833;Magnanville;5925;5505;5624
78356;11;78;782;7805;Magny-les-Hameaux;9061;8779;8769
78358;11;78;783;7811;Maisons-Laffitte;23215;22649;21856
78361;11;78;781;7812;Mantes-la-Jolie;43515;42916;43672
78362;11;78;781;7833;Mantes-la-Ville;19944;18739;19231
78364;11;78;782;7815;Marcq;723;693;597
78366;11;78;782;7815;Mareil-le-Guyon;369;417;348
78367;11;78;783;7835;Mareil-Marly;3519;3468;3180
78368;11;78;781;7801;Mareil-sur-Mauldre;1738;1740;1760
78372;11;78;783;7813;Marly-le-Roi;16600;16606;16759
78380;11;78;781;7801;Maule;5711;5865;5863
78381;11;78;781;7808;Maulette;809;735;712
78382;11;78;783;7839;Maurecourt;4369;4134;3493
78383;11;78;782;7834;Maurepas;18907;18789;19586
78384;11;78;783;7816;M?dan;1417;1487;1393
78385;11;78;781;7802;M?nerville;208;197;191
78389;11;78;782;7815;M?r?;1699;1703;1658
78391;11;78;781;7802;M?ricourt;381;396;360
78396;11;78;783;7811;Le Mesnil-le-Roi;6383;6401;6207
78397;11;78;782;7805;Le Mesnil-Saint-Denis;6593;6622;6518
78398;11;78;782;7815;Les Mesnuls;852;878;883
78401;11;78;781;7814;Meulan-en-Yvelines;8988;8773;8394
78402;11;78;781;7807;M?zières-sur-Seine;3587;3485;3341
78403;11;78;781;7814;M?zy-sur-Seine;1984;1908;1789
78404;11;78;782;7815;Millemont;246;246;206
78406;11;78;782;7805;Milon-la-Chapelle;279;319;339
78407;11;78;782;7818;Mittainville;592;627;514
78410;11;78;781;7802;Moisson;919;900;795
78413;11;78;781;7808;Mondreville;403;357;348
78415;11;78;781;7801;Montainville;537;559;507
78416;11;78;781;7810;Montalet-le-Bois;340;326;291
78417;11;78;781;7808;Montchauvet;274;290;254
78418;11;78;783;7830;Montesson;15280;14885;13750
78420;11;78;782;7815;Montfort-l'Amaury;3073;3088;3137
78423;11;78;784;7828;Montigny-le-Bretonneux;33680;34038;35216
78431;11;78;783;7817;Morainvilliers;2547;2387;2193
78437;11;78;781;7802;Mousseaux-sur-Seine;640;610;558
78439;11;78;781;7808;Mulcent;104;96;71
78440;11;78;781;7814;Les Mureaux;30760;32911;31739
78442;11;78;782;7815;Neauphle-le-Ch‰teau;3044;2973;2771
78443;11;78;782;7815;Neauphle-le-Vieux;868;692;707
78444;11;78;781;7802;Neauphlette;877;916;806
78451;11;78;781;7801;N?zel;1097;944;945
78455;11;78;783;7822;Noisy-le-Roi;7721;8045;7718
78460;11;78;781;7810;Oinville-sur-Montcient;1107;1131;1131
78464;11;78;782;7818;Orcemont;846;855;826
78465;11;78;781;7808;Orgerus;2340;2336;2245
78466;11;78;783;7817;Orgeval;5978;5795;4801
78470;11;78;782;7818;Orphin;908;925;928
78472;11;78;782;7819;Orsonville;338;326;240
78474;11;78;781;7808;Orvilliers;722;578;484
78475;11;78;781;7808;Osmoy;371;399;316
78478;11;78;782;7819;Paray-Douaville;248;229;162
78481;11;78;783;7835;Le Pecq;16350;15935;16318
78484;11;78;781;7802;Perdreauville;632;593;536
78486;11;78;782;7818;Le Perray-en-Yvelines;6680;6427;5828
78490;11;78;784;7838;Plaisir;31119;30937;31045
78497;11;78;782;7818;Poigny-la-Forêt;983;1014;872
78498;11;78;783;7897;Poissy;37597;37109;35841
78499;11;78;782;7819;Ponth?vrard;608;562;471
78501;11;78;781;7810;Porcheville;3094;2546;2502
78502;11;78;783;7813;Le Port-Marly;5089;4623;4412
78503;11;78;781;7802;Port-Villez;245;227;176
78505;11;78;781;7808;Prunay-le-Temple;414;368;301
78506;11;78;782;7819;Prunay-en-Yvelines;810;815;846
78513;11;78;782;7815;La Queue-les-Yvelines;2168;2049;1844
78516;11;78;782;7818;Raizeux;882;820;732
78517;11;78;782;7818;Rambouillet;25833;26157;24758
78518;11;78;783;7822;Rennemoulin;113;141;128
78520;11;78;781;7808;Richebourg;1535;1444;1378
78522;11;78;782;7819;Rochefort-en-Yvelines;913;933;774
78524;11;78;784;7832;Rocquencourt;3216;3267;3218
78528;11;78;781;7802;Rolleboise;402;408;401
78530;11;78;781;7807;Rosay;378;365;364
78531;11;78;781;7833;Rosny-sur-Seine;5689;5181;4758
78536;11;78;781;7810;Sailly;381;372;349
78537;11;78;782;7819;Saint-Arnoult-en-Yvelines;6128;5842;5671
78545;11;78;784;7836;Saint-Cyr-l'ƒcole;17562;16710;14566
78548;11;78;782;7805;Saint-Forget;459;486;521
78550;11;78;782;7815;Saint-Germain-de-la-Grange;1835;1816;1622
78551;11;78;783;7898;Saint-Germain-en-Laye;39476;41517;38423
78557;11;78;782;7818;Saint-Hilarion;893;895;799
78558;11;78;781;7802;Saint-Illiers-la-Ville;340;277;269
78559;11;78;781;7802;Saint-Illiers-le-Bois;463;443;437
78561;11;78;782;7805;Saint-Lambert;440;388;380
78562;11;78;782;7818;Saint-L?ger-en-Yvelines;1489;1443;1322
78564;11;78;782;7819;Saint-Martin-de-Br?thencourt;638;598;588
78565;11;78;781;7808;Saint-Martin-des-Champs;328;325;305
78567;11;78;781;7810;Saint-Martin-la-Garenne;943;846;740
78569;11;78;782;7819;Sainte-Mesme;906;838;866
78571;11;78;783;7822;Saint-Nom-la-Bretèche;5101;4949;4966
78575;11;78;782;7805;Saint-R?my-lès-Chevreuse;7730;7879;7651
78576;11;78;782;7815;Saint-R?my-l'Honor?;1359;1393;1299
78586;11;78;783;7823;Sartrouville;51713;51601;50219
78588;11;78;782;7815;Saulx-Marchais;908;810;600
78590;11;78;782;7805;Senlisse;534;538;484
78591;11;78;781;7808;Septeuil;2302;2083;2046
78597;11;78;781;7807;Soindres;628;595;610
78601;11;78;782;7819;Sonchamp;1592;1575;1485
78605;11;78;781;7808;Tacoignières;1047;1027;956
78606;11;78;781;7808;Le Tartre-Gaudran;32;32;29
78608;11;78;781;7802;Le Tertre-Saint-Denis;115;106;101
78609;11;78;781;7814;Tessancourt-sur-Aubette;949;943;920
78615;11;78;784;7838;Thiverval-Grignon;1062;1012;773
78616;11;78;782;7815;Thoiry;1159;1105;969
78618;11;78;781;7808;Tilly;547;489;439
78620;11;78;784;7829;Toussus-le-Noble;1135;829;659
78621;11;78;784;7824;Trappes;29774;29327;28812
78623;11;78;782;7815;Le Tremblay-sur-Mauldre;956;984;813
78624;11;78;783;7825;Triel-sur-Seine;11431;11957;11097
78638;11;78;781;7814;Vaux-sur-Seine;4782;4800;4369
78640;11;78;784;7837;V?lizy-Villacoublay;21104;19994;20342
78642;11;78;783;7825;Verneuil-sur-Seine;15290;15524;14538
78643;11;78;783;7825;Vernouillet;9383;9356;9471
78644;11;78;782;7834;La Verrière;5962;6125;6053
78646;11;78;784;7899;Versailles;85424;86979;85726
78647;11;78;781;7807;Vert;806;776;737
78650;11;78;783;7830;Le V?sinet;15901;16399;15921
78653;11;78;782;7815;Vicq;347;299;259
78655;11;78;782;7818;Vieille-ƒglise-en-Yvelines;777;782;742
78668;11;78;781;7802;La Villeneuve-en-Chevrie;577;551;534
78672;11;78;783;7816;Villennes-sur-Seine;5115;5045;4790
78674;11;78;783;7822;Villepreux;9927;9878;9601
78677;11;78;781;7807;Villette;520;518;470
78681;11;78;782;7815;Villiers-le-Mahieu;695;703;615
78683;11;78;782;7815;Villiers-Saint-Fr?d?ric;2730;2718;2386
78686;11;78;784;7831;Viroflay;15678;16000;15211
78688;11;78;782;7805;Voisins-le-Bretonneux;11470;12153;12153
91001;11;91;911;9117;Abb?ville-la-Rivière;291;289;262
91016;11;91;911;9117;Angerville;4137;3375;3265
91017;11;91;911;9124;Angervilliers;1643;1598;1381
91021;11;91;913;9101;Arpajon;10832;9918;9053
91022;11;91;911;9117;Arrancourt;123;134;133
91027;11;91;913;9102;Athis-Mons;29482;30462;29427
91035;11;91;911;9107;Authon-la-Plaine;368;348;305
91037;11;91;912;9116;Auvernaux;347;318;257
91038;11;91;911;9109;Auvers-Saint-Georges;1271;1165;1059
91041;11;91;913;9101;Avrainville;845;683;652
91044;11;91;913;9135;Ballainvilliers;3914;3780;2749
91045;11;91;912;9116;Ballancourt-sur-Essonne;7454;7206;6273
91047;11;91;911;9111;Baulne;1306;1364;1380
91064;11;91;913;9103;Bièvres;4433;4982;4034
91067;11;91;911;9117;Blandy;122;128;104
91069;11;91;912;9118;Boigneville;399;422;461
91075;11;91;911;9117;Bois-Herpin;76;76;57
91079;11;91;911;9117;Boissy-la-Rivière;568;507;455
91080;11;91;911;9111;Boissy-le-Cutt?;1314;1308;1200
91081;11;91;911;9108;Boissy-le-Sec;690;629;624
91085;11;91;911;9124;Boissy-sous-Saint-Yon;3696;3641;3566
91086;11;91;912;9110;Bondoufle;9152;9451;9129
91093;11;91;913;9113;Boullay-les-Troux;632;643;581
91095;11;91;911;9109;Bouray-sur-Juine;2061;1926;1867
91097;11;91;912;9138;Boussy-Saint-Antoine;6489;6536;6352
91098;11;91;911;9108;Boutervilliers;388;328;293
91099;11;91;911;9111;Boutigny-sur-Essonne;3020;3085;3002
91100;11;91;911;9108;Bouville;632;646;538
91103;11;91;913;9104;Br?tigny-sur-Orge;25214;22837;21650
91105;11;91;911;9124;Breuillet;8408;8150;7331
91106;11;91;911;9124;Breux-Jouy;1233;1230;1259
91109;11;91;911;9108;Brières-les-Scell?s;1115;945;843
91111;11;91;913;9113;Briis-sous-Forges;3551;3352;3211
91112;11;91;911;9117;Brouy;131;122;112
91114;11;91;912;9105;Brunoy;25685;25981;23617
91115;11;91;913;9101;Bruyères-le-Ch‰tel;3513;3077;3013
91121;11;91;912;9118;Buno-Bonnevaux;477;471;518
91122;11;91;913;9121;Bures-sur-Yvette;9726;9773;9679
91129;11;91;911;9111;Cerny;3332;3225;3066
91130;11;91;911;9108;Chalo-Saint-Mars;1162;1137;1094
91131;11;91;911;9117;Chalou-Moulineux;416;395;370
91132;11;91;911;9109;Chamarande;1131;1071;1016
91135;11;91;912;9116;Champcueil;2828;2753;2528
91136;11;91;913;9135;Champlan;2667;2444;2458
91137;11;91;911;9117;Champmotteux;385;345;241
91145;11;91;911;9107;Chatignonville;51;64;89
91148;11;91;911;9109;Chauffour-lès-ƒtr?chy;140;131;119
91156;11;91;913;9101;Cheptainville;1896;1824;1462
91159;11;91;912;9116;Chevannes;1731;1655;1400
91161;11;91;913;9128;Chilly-Mazarin;19213;18577;17737
91174;11;91;912;9196;Corbeil-Essonnes;46017;41308;39378
91175;11;91;911;9107;Corbreuse;1738;1666;1486
91179;11;91;912;9116;Le Coudray-Montceaux;4728;4250;2800
91180;11;91;912;9118;Courances;348;348;352
91182;11;91;912;9139;Courcouronnes;13602;14336;13954
91184;11;91;912;9118;Courdimanche-sur-Essonne;267;283;251
91186;11;91;913;9113;Courson-Monteloup;608;582;586
91191;11;91;912;9136;Crosne;9191;9094;8154
91195;11;91;912;9118;Dannemois;842;820;679
91198;11;91;911;9111;D'Huison-Longueville;1438;1327;1232
91200;11;91;911;9107;Dourdan;10168;9435;9555
91201;11;91;912;9129;Draveil;29063;28335;28093
91204;11;91;912;9116;ƒcharcon;782;724;575
91207;11;91;913;9101;ƒgly;5413;5240;5321
91215;11;91;912;9138;ƒpinay-sous-S?nart;12434;12652;12797
91216;11;91;913;9114;ƒpinay-sur-Orge;10285;10261;9399
91222;11;91;911;9117;Estouches;220;208;182
91223;11;91;911;9108;ƒtampes;24320;22306;21839
91225;11;91;912;9132;ƒtiolles;3135;3040;2548
91226;11;91;911;9109;ƒtr?chy;6341;6219;6104
91228;11;91;912;9197;ƒvry;52349;52802;49437
91232;11;91;911;9111;La Fert?-Alais;3982;4015;3556
91235;11;91;912;9131;Fleury-M?rogis;9165;9141;9074
91240;11;91;911;9117;Fontaine-la-Rivière;223;203;172
91243;11;91;913;9113;Fontenay-lès-Briis;1882;1713;1707
91244;11;91;912;9116;Fontenay-le-Vicomte;1283;1298;884
91247;11;91;911;9107;La Forêt-le-Roi;499;471;357
91248;11;91;911;9117;La Forêt-Sainte-Croix;159;145;111
91249;11;91;913;9113;Forges-les-Bains;3754;3671;3229
91272;11;91;913;9130;Gif-sur-Yvette;20346;21736;21364
91273;11;91;912;9118;Gironville-sur-Essonne;803;776;641
91274;11;91;913;9113;Gometz-la-Ville;1397;1190;986
91275;11;91;913;9113;Gometz-le-Ch‰tel;2618;2091;1847
91284;11;91;911;9107;Les Granges-le-Roi;1119;975;873
91286;11;91;912;9140;Grigny;27713;26637;24512
91292;11;91;913;9101;Guibeville;709;744;654
91293;11;91;911;9111;Guigneville-sur-Essonne;939;975;746
91294;11;91;911;9117;Guillerval;796;745;708
91312;11;91;913;9122;Igny;10573;10208;9381
91315;11;91;911;9111;Itteville;6613;6325;5354
91318;11;91;911;9109;Janville-sur-Juine;1933;1855;1788
91319;11;91;913;9113;Janvry;603;615;530
91326;11;91;913;9141;Juvisy-sur-Orge;15188;14153;11937
91330;11;91;911;9109;Lardy;5578;5754;4375
91332;11;91;913;9104;Leudeville;1411;1294;1187
91333;11;91;913;9101;Leuville-sur-Orge;4074;4208;3761
91338;11;91;913;9113;Limours;6560;6344;6465
91339;11;91;913;9120;Linas;6647;6290;4970
91340;11;91;912;9110;Lisses;7447;6871;7206
91345;11;91;913;9114;Longjumeau;21739;21166;19957
91347;11;91;913;9120;Longpont-sur-Orge;6585;6609;5843
91359;11;91;912;9118;Maisse;2703;2805;2622
91363;11;91;913;9120;Marcoussis;8007;7736;7226
91374;11;91;911;9117;Marolles-en-Beauce;205;213;190
91376;11;91;913;9104;Marolles-en-Hurepoix;4928;4740;4669
91377;11;91;913;9198;Massy;43524;40386;37712
91378;11;91;911;9109;Mauchamps;279;289;273
91386;11;91;912;9116;Mennecy;13127;13225;12779
91390;11;91;911;9117;M?r?ville;3160;3173;3066
91393;11;91;911;9107;M?robert;567;540;458
91399;11;91;911;9117;Mespuits;202;170;154
91405;11;91;912;9118;Milly-la-Forêt;4788;4746;4601
91408;11;91;912;9118;Moigny-sur-ƒcole;1295;1252;1283
91411;11;91;913;9113;Les Molières;1981;1825;1654
91412;11;91;911;9111;Mondeville;690;667;688
91414;11;91;911;9117;Monnerville;399;395;351
91421;11;91;912;9119;Montgeron;23281;22929;21905
91425;11;91;913;9120;Montlh?ry;7201;6455;5676
91432;11;91;913;9128;Morangis;12476;11511;10611
91433;11;91;911;9108;Morigny-Champigny;4321;4246;3922
91434;11;91;912;9131;Morsang-sur-Orge;21428;21165;19335
91435;11;91;912;9132;Morsang-sur-Seine;529;512;380
91441;11;91;912;9116;Nainville-les-Roches;463;443;457
91457;11;91;913;9101;La Norville;4083;4009;3944
91458;11;91;913;9120;Nozay;4757;4723;4275
91461;11;91;913;9101;Ollainville;4613;4565;3896
91463;11;91;912;9118;Oncy-sur-ƒcole;987;939;878
91468;11;91;912;9116;Ormoy;1929;1746;1241
91469;11;91;911;9108;Ormoy-la-Rivière;933;950;943
91471;11;91;913;9121;Orsay;15880;16411;16236
91473;11;91;911;9111;Orveau;192;205;183
91477;11;91;913;9122;Palaiseau;30268;30149;28965
91479;11;91;913;9102;Paray-Vieille-Poste;7230;7179;7188
91482;11;91;913;9113;Pecqueuse;632;593;587
91494;11;91;913;9104;Le Plessis-P‰t?;4096;3921;2926
91495;11;91;911;9107;Plessis-Saint-Benoist;309;307;273
91507;11;91;912;9118;Prunay-sur-Essonne;317;308;286
91508;11;91;911;9108;Puiselet-le-Marais;281;284;324
91511;11;91;911;9117;Pussay;2011;1790;1726
91514;11;91;912;9138;Quincy-sous-S?nart;8303;7608;7426
91519;11;91;911;9107;Richarville;400;439;400
91521;11;91;912;9123;Ris-Orangis;26800;26691;24436
91525;11;91;911;9107;Roinville;1256;1164;888
91526;11;91;911;9117;Roinvilliers;91;76;61
91533;11;91;911;9117;Saclas;1798;1798;1664
91534;11;91;913;9103;Saclay;3637;3013;2883
91538;11;91;913;9103;Saint-Aubin;699;641;694
91540;11;91;911;9124;Saint-Ch?ron;4834;4796;4444
91544;11;91;911;9117;Saint-Cyr-la-Rivière;500;491;427
91546;11;91;911;9124;Saint-Cyr-sous-Dourdan;1007;997;951
91547;11;91;911;9107;Saint-Escobille;454;465;492
91549;11;91;913;9125;Sainte-Geneviève-des-Bois;35035;34411;32125
91552;11;91;913;9101;Saint-Germain-lès-Arpajon;9412;9146;8227
91553;11;91;912;9132;Saint-Germain-lès-Corbeil;7310;7177;7051
91556;11;91;911;9108;Saint-Hilaire;393;345;379
91560;11;91;913;9120;Saint-Jean-de-Beauregard;284;275;283
91568;11;91;911;9124;Saint-Maurice-Montcouronne;1611;1577;1360
91570;11;91;913;9133;Saint-Michel-sur-Orge;20188;20148;20375
91573;11;91;912;9132;Saint-Pierre-du-Perray;9370;7818;5801
91577;11;91;912;9132;Saintry-sur-Seine;5193;5190;4998
91578;11;91;911;9124;Saint-Sulpice-de-Favières;324;323;315
91579;11;91;913;9104;Saint-Vrain;2921;2791;2800
91581;11;91;911;9124;Saint-Yon;889;885;811
91587;11;91;913;9135;Saulx-les-Chartreux;5128;4883;4952
91589;11;91;913;9199;Savigny-sur-Orge;37135;37469;36258
