"","decoup2008","insee","C_VILLENOU"
"603",3,93064,NA
"604",7,77001,NA
"605",7,77002,NA
"606",7,77003,NA
"607",7,77004,NA
"608",7,77006,NA
"609",7,77007,NA
"610",7,77008,NA
"611",7,77010,NA
"612",7,77011,NA
"613",7,77012,NA
"614",7,77015,NA
"615",7,77016,NA
"616",6,77016,NA
"617",7,77019,NA
"618",7,77020,NA
"619",7,77021,NA
"620",7,77025,NA
"621",7,77026,NA
"622",7,77027,NA
"623",7,77028,NA
"624",7,77029,NA
"625",7,77030,NA
"626",6,77031,NA
"627",7,77033,NA
"628",7,77035,NA
"629",5,77037,NA
"630",7,77038,NA
"631",7,77039,NA
"632",4,77040,NA
"633",7,77041,NA
"634",6,77042,NA
"635",7,77043,NA
"636",7,77044,NA
"637",7,77045,NA
"638",7,77046,NA
"639",7,77047,NA
"640",6,77048,NA
"641",7,77049,NA
"642",7,77050,NA
"643",6,77051,NA
"644",7,77054,NA
"645",7,77056,NA
"646",7,77057,NA
"647",4,77059,3
"648",7,77060,NA
"649",6,77061,NA
"650",6,77063,NA
"651",7,77065,NA
"652",7,77068,NA
"653",6,77069,NA
"654",7,77070,NA
"655",7,77071,NA
"656",7,77072,NA
"657",7,77076,NA
"658",7,77077,NA
"659",6,77078,NA
"660",7,77081,NA
"661",6,77084,NA
"662",4,77085,3
"663",7,77086,NA
"664",6,77088,NA
"665",7,77089,NA
"666",7,77090,NA
"667",7,77091,NA
"668",7,77093,NA
"669",7,77094,NA
"670",7,77097,NA
"671",7,77098,NA
"672",5,77100,NA
"673",7,77101,NA
"674",7,77102,NA
"675",7,77103,NA
"676",7,77106,NA
"677",7,77109,NA
"678",7,77112,NA
"679",7,77113,NA
"680",7,77115,NA
"681",7,77117,NA
"682",7,77119,NA
"683",7,77120,NA
"684",7,77123,NA
"685",4,77124,3
"686",3,77124,3
"687",7,77126,NA
"688",6,77128,NA
"689",7,77129,NA
"690",7,77130,NA
"691",6,77132,3
"692",7,77134,NA
"693",7,77135,NA
"694",7,77136,NA
"695",7,77138,NA
"696",3,77139,NA
"697",7,77140,NA
"698",6,77141,NA
"699",7,77142,NA
"700",7,77144,NA
"701",7,77145,NA
"702",4,77146,3
"703",7,77147,NA
"704",7,77149,NA
"705",7,77150,NA
"706",7,77151,NA
"707",7,77154,NA
"708",6,77156,NA
"709",7,77157,NA
"710",7,77158,NA
"711",7,77161,NA
"712",7,77162,NA
"713",7,77164,NA
"714",7,77165,NA
"715",6,77166,NA
"716",7,77167,NA
"717",7,77168,NA
"718",7,77170,NA
"719",7,77171,NA
"720",7,77172,NA
"721",7,77173,NA
"722",7,77174,NA
"723",7,77177,NA
"724",7,77178,NA
"725",7,77179,NA
"726",4,77181,3
"727",7,77184,NA
"728",7,77185,NA
"729",7,77187,NA
"730",6,77188,NA
"731",7,77193,NA
"732",7,77194,NA
"733",7,77195,NA
"734",7,77196,NA
"735",7,77197,NA
"736",7,77199,NA
"737",7,77200,NA
"738",7,77201,NA
"739",7,77202,NA
"740",7,77203,NA
"741",7,77208,NA
"742",4,77209,3
"743",6,77210,NA
"744",7,77211,NA
"745",7,77214,NA
"746",7,77216,NA
"747",7,77219,NA
"748",7,77220,NA
"749",7,77222,NA
"750",7,77223,NA
"751",7,77227,NA
"752",7,77228,NA
"753",7,77229,NA
"754",7,77230,NA
"755",7,77231,NA
"756",6,77232,NA
"757",7,77233,NA
"758",7,77236,NA
"759",7,77237,3
"760",5,77238,NA
"761",7,77239,NA
"762",6,77240,NA
"763",7,77242,NA
"764",7,77244,NA
"765",7,77245,NA
"766",7,77246,NA
"767",7,77247,NA
"768",5,77248,NA
"769",7,77248,NA
"770",7,77250,NA
"771",7,77253,NA
"772",7,77254,NA
"773",4,77255,NA
"774",7,77256,NA
"775",7,77261,NA
"776",7,77262,NA
"777",7,77264,NA
"778",6,77265,NA
"779",7,77266,NA
"780",7,77270,NA
"781",7,77272,NA
"782",7,77273,NA
"783",7,77277,NA
"784",7,77278,NA
"785",7,77279,NA
"786",6,77280,NA
"787",6,77281,NA
"788",7,77282,NA
"789",7,77283,NA
"790",7,77287,NA
"791",7,77289,NA
"792",6,77290,NA
"793",4,77291,NA
"794",7,77293,NA
"795",7,77295,NA
"796",7,77297,NA
"797",7,77299,NA
"798",7,77300,NA
"799",7,77303,NA
"800",7,77306,NA
"801",7,77308,NA
"802",7,77309,NA
"803",7,77310,NA
"804",7,77311,NA
"805",7,77313,NA
"806",6,77315,NA
"807",5,77315,NA
"808",7,77318,NA
"809",6,77320,NA
"810",6,77321,NA
"811",6,77322,NA
"812",6,77328,NA
"813",7,77329,NA
"814",7,77330,NA
"815",6,77331,NA
"816",7,77332,NA
"817",6,77335,NA
"818",7,77336,NA
"819",7,77338,NA
"820",7,77340,NA
"821",7,77341,NA
"822",7,77342,NA
"823",7,77343,NA
"824",6,77344,NA
"825",7,77345,NA
"826",7,77347,NA
"827",7,77348,NA
"828",6,77352,NA
"829",7,77352,NA
"830",7,77353,NA
"831",7,77354,NA
"832",7,77355,NA
"833",7,77357,NA
"834",7,77358,NA
"835",7,77359,NA
"836",7,77361,NA
"837",7,77364,NA
"838",7,77365,NA
"839",7,77366,NA
"840",6,77369,NA
"841",7,77370,NA
"842",6,77371,NA
"843",7,77376,NA
"844",7,77380,NA
"845",7,77381,NA
"846",7,77383,NA
"847",7,77385,NA
"848",7,77386,NA
"849",7,77387,NA
"850",7,77392,NA
"851",6,77393,NA
"852",4,77394,NA
"853",7,77394,NA
"854",7,77395,NA
"855",6,77397,NA
"856",7,77398,NA
"857",7,77399,NA
"858",6,77401,NA
"859",7,77402,NA
"860",6,77403,NA
"861",6,77404,NA
"862",7,77404,NA
"863",7,77405,NA
"864",7,77408,NA
"865",6,77409,NA
"866",7,77410,NA
"867",7,77411,NA
"868",7,77412,NA
"869",7,77414,NA
"870",6,77415,NA
"871",7,77416,NA
"872",7,77417,NA
"873",7,77418,NA
"874",7,77421,NA
"875",7,77423,NA
"876",7,77424,NA
"877",7,77425,NA
"878",7,77426,NA
"879",7,77427,NA
"880",7,77428,NA
"881",7,77429,NA
"882",6,77433,NA
"883",7,77434,NA
"884",7,77435,NA
"885",4,77438,3
"886",7,77439,NA
"887",7,77443,NA
"888",7,77444,NA
"889",7,77446,NA
"890",7,77447,NA
"891",5,77449,3
"892",4,77450,NA
"893",7,77451,NA
"894",7,77453,NA
"895",7,77454,NA
"896",7,77456,NA
"897",7,77459,NA
"898",7,77460,NA
"899",7,77461,NA
"900",7,77465,NA
"901",7,77466,NA
"902",7,77467,NA
"903",7,77469,NA
"904",7,77471,NA
"905",7,77472,NA
"906",7,77473,NA
"907",7,77474,NA
"908",5,77475,NA
"909",7,77477,NA
"910",7,77478,NA
"911",7,77480,NA
"912",6,77482,NA
"913",7,77484,NA
"914",7,77485,NA
"915",7,77486,NA
"916",7,77489,NA
"917",7,77490,NA
"918",7,77492,NA
"919",6,77493,NA
"920",6,77494,NA
"921",7,77496,NA
"922",7,77500,NA
"923",7,77501,NA
"924",7,77504,NA
"925",7,77505,NA
"926",7,77506,NA
"927",7,77507,NA
"928",7,77509,NA
"929",7,77510,NA
"930",7,77512,NA
"931",7,77516,NA
"932",7,77519,NA
"933",7,77520,NA
"934",6,77521,NA
"935",7,77522,NA
"936",7,77523,NA
"937",7,77524,NA
"938",7,77525,NA
"939",7,77526,NA
"940",7,77527,NA
"941",6,77529,NA
"942",7,77530,NA
"943",7,77531,NA
"944",6,77533,NA
"945",7,77534,NA
"946",6,78003,NA
"947",7,78006,NA
"948",7,78007,NA
"949",7,78009,NA
"950",7,78010,NA
"951",7,78013,NA
"952",7,78020,NA
"953",7,78030,NA
"954",4,78031,NA
"955",7,78034,NA
"956",7,78048,NA
"957",6,78049,NA
"958",6,78057,NA
"959",7,78068,NA
"960",7,78070,NA
"961",7,78072,NA
"962",7,78077,NA
"963",7,78082,NA
"964",7,78087,NA
"965",7,78096,NA
"966",7,78104,NA
"967",7,78108,NA
"968",7,78113,NA
"969",4,78118,NA
"970",7,78120,NA
"971",7,78125,NA
"972",4,78138,NA
"973",4,78140,NA
"974",7,78147,NA
"975",7,78152,NA
"976",7,78162,NA
"977",7,78171,NA
"978",6,78185,NA
"979",7,78189,NA
"980",7,78192,NA
"981",7,78193,NA
"982",7,78196,NA
"983",5,78206,NA
"984",6,78209,NA
"985",6,78230,NA
"986",6,78233,NA
"987",7,78236,NA
"988",7,78237,NA
"989",4,78238,NA
"990",4,78239,NA
"991",7,78246,NA
"992",6,78255,NA
"993",4,78261,NA
"994",7,78262,NA
"995",7,78263,NA
"996",6,78265,NA
"997",7,78269,NA
"998",7,78278,NA
"999",7,78281,NA
"1000",7,78283,NA
"1001",7,78285,NA
"1002",7,78289,NA
"1003",7,78290,NA
"1004",7,78291,NA
"1005",7,78296,NA
"1006",7,78300,NA
"1007",7,78302,NA
"1008",7,78307,NA
"1009",6,78310,NA
"1010",4,78314,NA
"1011",7,78317,NA
"1012",7,78320,NA
"1013",3,78321,NA
"1014",7,78325,NA
"1015",4,78327,NA
"1016",7,78329,NA
"1017",6,78334,NA
"1018",6,78337,NA
"1019",7,78346,NA
"1020",4,78354,NA
"1021",7,78364,NA
"1022",7,78368,NA
"1023",4,78384,NA
"1024",6,78389,NA
"1025",6,78391,NA
"1026",6,78398,NA
"1027",4,78401,NA
"1028",4,78403,NA
"1029",7,78406,NA
"1030",7,78407,NA
"1031",7,78410,NA
"1032",6,78415,NA
"1033",7,78416,NA
"1034",7,78417,NA
"1035",7,78431,NA
"1036",6,78437,NA
"1037",7,78460,NA
"1038",7,78464,NA
"1039",6,78465,NA
"1040",4,78466,NA
"1041",7,78470,NA
"1042",7,78472,NA
"1043",7,78474,NA
"1044",7,78475,NA
"1045",7,78478,NA
"1046",7,78497,NA
"1047",7,78505,NA
"1048",6,78513,NA
"1049",6,78516,NA
"1050",7,78520,NA
"1051",7,78522,NA
"1052",6,78528,NA
"1053",7,78530,NA
"1054",6,78531,NA
"1055",7,78536,NA
"1056",5,78537,NA
"1057",7,78548,NA
"1058",7,78550,NA
"1059",7,78558,NA
"1060",7,78559,NA
"1061",7,78561,NA
"1062",7,78564,NA
"1063",7,78569,NA
"1064",7,78590,NA
"1065",7,78597,NA
"1066",7,78605,NA
"1067",7,78615,NA
"1068",7,78618,NA
"1069",7,78620,NA
"1070",4,78623,NA
"1071",3,78644,5
"1072",4,78647,NA
"1073",7,78655,NA
"1074",7,78677,NA
"1075",7,78681,NA
"1076",4,78683,NA
"1077",7,91017,NA
"1078",7,91022,NA
"1079",7,91035,NA
"1080",7,91037,NA
"1081",6,91038,NA
"1082",7,91041,NA
"1083",7,91069,NA
"1084",7,91075,NA
"1085",7,91079,NA
"1086",7,91081,NA
"1087",4,91097,NA
"1088",7,91100,NA
"1089",4,91106,NA
"1090",6,91109,NA
"1091",7,91112,NA
"1092",7,91121,NA
"1093",6,91129,NA
"1094",7,91130,NA
"1095",6,91132,NA
"1096",7,91135,NA
"1097",7,91137,NA
"1098",7,91159,NA
"1099",7,91180,NA
"1100",7,91186,NA
"1101",7,91195,NA
"1102",6,91198,NA
"1103",4,91204,NA
"1104",7,91222,NA
"1105",3,91235,NA
"1106",7,91243,NA
"1107",4,91244,NA
"1108",7,91247,NA
"1109",7,91273,NA
"1110",7,91274,NA
"1111",3,91275,NA
"1112",7,91284,NA
"1113",7,91292,NA
"1114",6,91293,NA
"1115",7,91319,NA
"1116",6,91332,NA
"1117",5,91338,NA
"1118",6,91390,NA
"1119",7,91408,NA
"1120",7,91411,NA
"1121",7,91412,NA
"1122",7,91414,NA
"1123",4,91425,NA
"1124",4,91435,NA
"1125",7,91441,NA
"1126",4,91457,NA
"1127",3,91457,NA
"1128",6,91463,NA
"1129",3,91468,NA
"1130",7,91469,NA
"1131",7,91473,NA
"1132",4,91494,NA
"1133",7,91495,NA
"1134",7,91507,NA
"1135",4,91514,NA
"1136",7,91526,NA
"1137",4,91538,NA
"1138",7,91544,NA
"1139",7,91546,NA
"1140",7,91547,NA
"1141",7,91556,NA
"1142",7,91560,NA
"1143",7,91568,NA
"1144",3,91573,4
"1145",7,91578,NA
"1146",7,91599,NA
"1147",7,91613,NA
"1148",6,91617,4
"1149",7,91619,NA
"1150",7,91629,NA
"1151",7,91630,NA
"1152",7,91634,NA
"1153",6,91639,NA
"1154",7,91662,NA
"1155",7,91671,NA
"1156",3,93015,NA
"1157",2,93033,NA
"1158",3,94056,NA
"1159",7,95002,NA
"1160",7,95008,NA
"1161",4,95014,NA
"1162",7,95023,NA
"1163",7,95024,NA
"1164",7,95028,NA
"1165",7,95040,NA
"1166",6,95042,NA
"1167",7,95055,NA
"1168",6,95058,NA
"1169",7,95059,NA
"1170",3,95060,NA
"1171",7,95061,NA
"1172",7,95074,NA
"1173",7,95078,NA
"1174",3,95091,NA
"1175",7,95102,NA
"1176",7,95110,NA
"1177",6,95116,NA
"1178",4,95120,NA
"1179",7,95139,NA
"1180",7,95150,NA
"1181",7,95151,NA
"1182",7,95170,NA
"1183",7,95181,NA
"1184",7,95211,NA
"1185",7,95213,NA
"1186",7,95241,NA
"1187",5,95250,NA
"1188",7,95253,NA
"1189",7,95254,NA
"1190",7,95298,NA
"1191",7,95328,NA
"1192",7,95331,NA
"1193",7,95348,NA
"1194",6,95353,NA
"1195",5,95355,NA
"1196",7,95365,NA
"1197",4,95369,NA
"1198",6,95370,NA
"1199",5,95371,NA
"1200",7,95387,NA
"1201",5,95388,1
"1202",7,95422,NA
"1203",7,95429,NA
"1204",6,95436,NA
"1205",7,95438,NA
"1206",4,95446,NA
"1207",4,95450,1
"1208",7,95456,NA
"1209",7,95459,NA
"1210",6,95509,NA
"1211",4,95510,1
"1212",6,95529,NA
"1213",7,95535,NA
"1214",7,95541,NA
"1215",7,95543,NA
"1216",6,95554,NA
"1217",7,95584,NA
"1218",7,95592,NA
"1219",7,95610,NA
"1220",7,95627,NA
"1221",4,95628,NA
"1222",4,95633,NA
"1223",6,95641,NA
"1224",7,95651,NA
"1225",7,95656,NA
"1226",7,95658,NA
"1227",6,95660,NA
"1228",7,95675,NA
"1229",7,95676,NA
"1230",4,95678,NA
"1231",7,95682,NA
"1232",7,95690,NA
"1233",3,78490,NA
"1234",4,95476,1
"1235",3,77390,NA
"1236",3,92063,NA
"1237",2,77285,NA
"1238",4,95424,NA
"1239",5,78029,NA
"1240",4,95306,NA
"1241",3,93029,NA
"1242",3,95018,NA
"1243",2,78688,5
"1244",6,77131,NA
"1245",3,78418,NA
"1246",4,78650,NA
"1247",2,78311,NA
"1248",3,93071,NA
"1249",2,93007,NA
"1250",4,94034,NA
