IRIS2;N_logements;COM;REG;DEP;ARR;COMA;Nb_resid_princ;Nobre_RS;Nombre_log_occasionnels;NBr_loge_vacants;RP_Proprio;RPLogemnts_locatifs_vide_NonHLM;RPMeubl_chambre_hotels;RP_residPrincipLocPriv
773710000;1129;77371;11;77;771;77371;899;175;5;50;742;96;2;98
773720000;1331;77372;11;77;775;77372;1243;19;6;63;699;168;11;179
773730101;2654;77373;11;77;775;77373;2374;38;34;208;1564;694;16;710
773730102;958;77373;11;77;775;77373;877;12;8;61;638;197;3;200
773730103;1197;77373;11;77;775;77373;1103;11;8;75;652;263;5;268
773730201;1398;77373;11;77;775;77373;1313;8;8;69;363;97;2;99
773730301;831;77373;11;77;775;77373;812;7;1;11;772;27;0;27
773730401;857;77373;11;77;775;77373;828;0;6;23;502;38;2;40
773730402;1259;77373;11;77;775;77373;1203;6;1;49;865;149;3;152
773730501;1;77373;11;77;775;77373;1;0;0;0;1;0;0;0
773730502;882;77373;11;77;775;77373;802;1;7;72;472;135;2;137
773730503;1393;77373;11;77;775;77373;1293;2;9;89;838;236;129;365
773730504;1075;77373;11;77;775;77373;1005;7;5;58;744;161;3;164
773740000;718;77374;11;77;775;77374;671;6;7;34;537;81;4;85
773760000;225;77376;11;77;771;77376;184;26;1;14;129;46;1;47
773770000;635;77377;11;77;772;77377;599;13;3;20;476;94;3;97
773780000;907;77378;11;77;772;77378;847;30;1;29;696;124;4;128
773790101;842;77379;11;77;773;77379;797;6;3;36;269;76;5;81
773790102;803;77379;11;77;773;77379;670;28;10;95;366;216;13;229
773790103;1933;77379;11;77;773;77379;1542;14;49;328;519;841;17;858
773790201;687;77379;11;77;773;77379;620;7;2;58;223;187;1;188
773790202;1276;77379;11;77;773;77379;1106;0;8;162;62;67;14;81
773800000;115;77380;11;77;771;77380;101;7;0;7;77;18;0;18
773810000;208;77381;11;77;772;77381;192;8;0;8;180;5;0;5
773820000;1713;77382;11;77;771;77382;1561;45;2;105;1288;156;2;158
773830000;266;77383;11;77;773;77383;222;26;0;18;186;23;1;24
773840000;251;77384;11;77;772;77384;233;1;2;15;179;29;2;31
773850000;834;77385;11;77;771;77385;724;42;10;58;408;115;4;119
773860000;356;77386;11;77;774;77386;240;79;7;30;188;33;9;42
773870000;186;77387;11;77;774;77387;133;24;1;28;115;11;0;11
773880000;307;77388;11;77;771;77388;268;26;2;11;235;25;0;25
773890000;1325;77389;11;77;772;77389;1200;18;14;93;830;213;4;217
773900101;1005;77390;11;77;775;77390;971;1;1;32;897;41;1;42
773900102;668;77390;11;77;775;77390;641;2;0;25;599;29;2;31
773900201;631;77390;11;77;775;77390;600;0;3;28;4;8;5;13
773900202;510;77390;11;77;775;77390;479;0;2;29;260;35;3;38
773900203;675;77390;11;77;775;77390;638;0;4;33;151;23;3;26
773900301;873;77390;11;77;775;77390;807;9;9;48;564;158;0;158
773900302;1036;77390;11;77;775;77390;936;14;7;79;812;98;4;102
773900401;1396;77390;11;77;775;77390;1348;1;0;47;938;101;14;115
773900501;13;77390;11;77;775;77390;11;0;0;2;4;6;0;6
773910000;185;77391;11;77;773;77391;166;11;0;8;149;12;0;12
773920000;196;77392;11;77;771;77392;190;0;0;6;167;18;0;18
773930000;1105;77393;11;77;772;77393;972;39;15;79;583;228;13;241
773940000;614;77394;11;77;772;77394;580;8;0;26;473;37;1;38
773950000;77;77395;11;77;774;77395;51;23;1;2;45;3;2;5
773960000;36;77396;11;77;773;77396;30;3;0;3;22;6;0;6
773970000;831;77397;11;77;771;77397;648;111;10;62;486;136;2;138
773980000;350;77398;11;77;771;77398;241;79;0;30;208;25;1;26
773990000;94;77399;11;77;774;77399;71;23;0;0;67;1;0;1
774000000;728;77400;11;77;771;77400;534;150;1;43;455;44;1;45
774010000;280;77401;11;77;771;77401;206;63;2;9;183;13;5;18
774020000;130;77402;11;77;773;77402;114;11;0;5;93;12;1;13
774030000;291;77403;11;77;773;77403;272;8;1;10;214;50;1;51
774040000;682;77404;11;77;773;77404;630;32;2;18;524;86;0;86
774050000;770;77405;11;77;771;77405;607;109;0;54;487;85;0;85
774060000;353;77406;11;77;771;77406;280;56;5;12;260;15;0;15
774070101;723;77407;11;77;772;77407;576;128;0;19;503;43;2;45
774070102;802;77407;11;77;772;77407;668;81;4;49;563;74;6;80
774070103;1116;77407;11;77;772;77407;1009;18;11;78;649;189;13;202
774070104;922;77407;11;77;772;77407;841;5;12;64;316;260;1;261
774070105;707;77407;11;77;772;77407;677;4;3;23;376;49;5;54
774070106;625;77407;11;77;772;77407;597;18;0;10;357;34;7;41
774080000;156;77408;11;77;771;77408;142;14;0;0;130;7;0;7
774090000;926;77409;11;77;773;77409;841;30;5;50;525;129;3;132
774100000;171;77410;11;77;772;77410;161;4;2;4;130;22;1;23
774110000;169;77411;11;77;771;77411;141;21;0;7;124;6;0;6
774120000;139;77412;11;77;772;77412;122;10;0;7;109;7;0;7
774130000;1094;77413;11;77;771;77413;1001;40;4;49;800;102;5;107
774140000;184;77414;11;77;773;77414;144;27;0;13;115;18;0;18
774150000;450;77415;11;77;771;77415;381;44;2;23;297;55;0;55
774160000;92;77416;11;77;773;77416;67;22;2;1;58;7;1;8
774170000;85;77417;11;77;771;77417;63;15;2;5;48;15;0;15
774180000;363;77418;11;77;773;77418;314;34;1;14;231;49;0;49
774190000;1392;77419;11;77;774;77419;1195;85;13;99;827;267;18;285
774200000;1260;77420;11;77;771;77420;1204;14;9;33;944;159;1;160
774210000;110;77421;11;77;773;77421;67;38;0;5;60;5;0;5
774230000;227;77423;11;77;773;77423;195;27;1;4;174;14;0;14
774240000;114;77424;11;77;773;77424;73;38;0;3;59;12;0;12
774250000;330;77425;11;77;772;77425;275;43;1;11;215;34;6;40
774260000;165;77426;11;77;772;77426;136;20;0;9;99;24;0;24
774270000;153;77427;11;77;771;77427;143;4;0;6;125;14;0;14
774280000;251;77428;11;77;772;77428;227;16;2;6;214;6;0;6
774290000;219;77429;11;77;771;77429;177;35;0;7;163;9;0;9
774300000;1571;77430;11;77;771;77430;1496;3;0;72;1346;124;5;129
774310101;1210;77431;11;77;774;77431;1079;54;7;70;773;196;13;209
774310102;1098;77431;11;77;774;77431;1053;16;3;26;828;99;5;104
774320000;376;77432;11;77;773;77432;300;58;0;18;247;38;0;38
774330000;542;77433;11;77;771;77433;412;106;7;17;353;38;2;40
774340000;242;77434;11;77;773;77434;132;103;1;6;107;18;0;18
774350000;419;77435;11;77;772;77435;369;28;4;18;330;26;0;26
774360000;382;77436;11;77;773;77436;278;87;3;14;238;26;0;26
774370000;1049;77437;11;77;771;77437;960;10;3;76;719;116;4;120
774380101;765;77438;11;77;775;77438;706;18;8;33;478;145;5;150
774380102;1404;77438;11;77;775;77438;1359;8;5;32;796;140;68;208
774390000;313;77439;11;77;773;77439;279;22;0;12;243;26;0;26
774400000;375;77440;11;77;771;77440;324;25;2;24;265;47;0;47
774410000;1037;77441;11;77;774;77441;827;148;14;48;598;138;17;155
774420000;853;77442;11;77;774;77442;776;58;0;19;637;64;5;69
774430000;114;77443;11;77;771;77443;102;9;0;3;97;2;0;2
774440000;132;77444;11;77;773;77444;90;34;1;7;76;11;0;11
774450101;786;77445;11;77;772;77445;779;0;0;7;580;35;3;38
774450102;709;77445;11;77;772;77445;679;3;2;25;426;26;1;27
774450201;913;77445;11;77;772;77445;873;5;2;33;692;62;1;63
774450202;1233;77445;11;77;772;77445;1184;3;1;45;695;46;8;54
774450203;1198;77445;11;77;772;77445;1049;1;3;145;274;34;5;39
774450301;1073;77445;11;77;772;77445;923;3;3;144;381;97;6;103
774450302;902;77445;11;77;772;77445;859;1;0;42;523;37;2;39
774450401;613;77445;11;77;772;77445;576;18;2;17;476;82;3;85
774450402;15;77445;11;77;772;77445;12;0;0;3;1;2;5;7
774460000;264;77446;11;77;773;77446;209;38;1;16;184;18;1;19
774470000;726;77447;11;77;772;77447;622;74;4;26;485;105;5;110
774480000;156;77448;11;77;771;77448;140;10;0;6;105;29;0;29
774490000;1078;77449;11;77;775;77449;824;5;3;246;462;64;226;290
774500000;976;77450;11;77;772;77450;937;22;2;15;850;53;3;56
774510000;225;77451;11;77;771;77451;199;16;1;9;168;24;0;24
774520000;32;77452;11;77;773;77452;24;7;0;1;19;4;1;5
774530000;356;77453;11;77;772;77453;325;15;5;11;265;39;2;41
774540000;164;77454;11;77;773;77454;119;37;0;8;108;5;0;5
774550000;825;77455;11;77;772;77455;692;93;0;40;576;93;3;96
774560000;321;77456;11;77;773;77456;268;31;0;22;245;19;0;19
774570000;462;77457;11;77;772;77457;420;21;1;20;319;89;1;90
774580101;1299;77458;11;77;774;77458;1116;59;17;107;613;321;5;326
774580102;1008;77458;11;77;774;77458;907;50;2;49;520;81;3;84
774590000;473;77459;11;77;773;77459;421;30;4;18;306;80;0;80
