Annee;COM;REG;DEP;ARR;CV;ZE1990;LIBGEO;PMIMP;PTSA;PPEN;PBEN;PAUT
2001;77095;11;77;771;7737;1155;Charny;;;;;
2001;77096;11;77;772;7705;1148;Chartrettes;83,37;73,05;17,9;5,96;3,09
2001;77097;11;77;773;7711;1153;Chartronges;;;;;
2001;77098;11;77;773;7723;1148;Châteaubleau;;;;;
2001;77099;11;77;774;7704;1150;Château-Landon;60,93;60,4;27,28;7,75;4,57
2001;77100;11;77;772;7705;1148;Châtelet-en-Brie (Le);78,08;75,25;17,83;4,27;2,65
2001;77101;11;77;773;7710;1151;Châtenay-sur-Seine;;;;;
2001;77102;11;77;774;7724;1150;Châtenoy;;;;;
2001;77103;11;77;772;7705;1148;Châtillon-la-Borde;;;;;
2001;77104;11;77;772;7728;1135;Châtres;;;;;
2001;77106;11;77;771;7726;1153;Chauffry;;;;;
2001;77107;11;77;772;7728;1148;Chaumes-en-Brie;72,19;74,12;16,21;6,49;3,18
2001;77108;11;77;775;7797;1136;Chelles;74,77;74,85;18,81;3,94;2,4
2001;77109;11;77;773;7725;1152;Chenoise;;;;;
2001;77110;11;77;774;7704;1150;Chenou;;;;;
2001;77111;11;77;775;7743;1154;Chessy;;;;;
2001;77112;11;77;774;7724;1150;Chevrainvilliers;;;;;
2001;77113;11;77;773;7711;1153;Chevru;;;;;
2001;77114;11;77;772;7702;1135;Chevry-Cossigny;83,32;81,13;8,59;6,11;4,17
2001;77115;11;77;774;7716;1151;Chevry-en-Sereine;;;;;
2001;77116;11;77;773;7711;1153;Choisy-en-Brie;;;;;
2001;77117;11;77;771;7712;1155;Citry;;;;;
2001;77118;11;77;775;7706;1137;Claye-Souilly;81,77;78,13;13,16;5,34;3,36
2001;77119;11;77;772;7722;1148;Clos-Fontaine;;;;;
2001;77120;11;77;771;7715;1155;Cocherel;;;;;
2001;77121;11;77;775;7735;1154;Collégien;82,42;90,93;5,67;2,37;1,03
2001;77122;11;77;772;7741;1135;Combs-la-Ville;77,48;78,91;16,62;2,73;1,74
2001;77123;11;77;771;7737;1137;Compans;;;;;
2001;77124;11;77;775;7743;1154;Conches-sur-Gondoire;;;;;
2001;77125;11;77;771;7708;1155;Condé-Sainte-Libiaire;;;;;
2001;77126;11;77;771;7715;1155;Congis-sur-Thérouanne;;;;;
2001;77127;11;77;772;7702;1135;Coubert;;;;;
2001;77128;11;77;771;7708;1155;Couilly-Pont-aux-Dames;;;;;
2001;77129;11;77;771;7715;1155;Coulombs-en-Valois;;;;;
2001;77130;11;77;771;7708;1155;Coulommes;;;;;
2001;77131;11;77;771;7707;1153;Coulommiers;58,2;64,2;24,85;7,2;3,76
2001;77132;11;77;775;7743;1154;Coupvray;86,88;78,78;13,67;5,45;2,1
2001;77133;11;77;773;7720;1151;Courcelles-en-Bassée;;;;;
2001;77134;11;77;773;7729;1152;Courchamp;;;;;
2001;77135;11;77;772;7727;1148;Courpalay;;;;;
2001;77136;11;77;772;7728;1135;Courquetaine;;;;;
2001;77137;11;77;773;7729;1153;Courtacon;;;;;
2001;77138;11;77;772;7722;1148;Courtomer;;;;;
2001;77139;11;77;775;7706;1136;Courtry;83,89;79,17;12,13;6,19;2,51
2001;77140;11;77;773;7710;1148;Coutençon;;;;;
2001;77141;11;77;771;7708;1155;Coutevroult;;;;;
2001;77142;11;77;771;7708;1155;Crécy-la-Chapelle;75,54;73,77;14,06;7,71;4,46
2001;77143;11;77;771;7717;1155;Crégy-lès-Meaux;78,63;85,02;10,22;3,29;1,46
2001;77144;11;77;772;7727;1135;Crèvecoeur-en-Brie;;;;;
2001;77145;11;77;772;7722;1148;Crisenoy;;;;;
2001;77146;11;77;775;7735;1136;Croissy-Beaubourg;90,11;82,32;11,17;4,74;1,77
2001;77147;11;77;773;7723;1148;Croix-en-Brie (La);;;;;
2001;77148;11;77;771;7715;1155;Crouy-sur-Ourcq;;;;;
2001;77149;11;77;773;7725;1152;Cucharmoy;;;;;
2001;77150;11;77;771;7709;1156;Cuisy;;;;;
2001;77151;11;77;773;7711;1153;Dagny;;;;;
2001;77152;11;77;772;7732;1148;Dammarie-les-Lys;63,95;76,12;18,79;2,9;2,19
2001;77153;11;77;771;7709;1156;Dammartin-en-Goële;80,09;83;10,5;4,08;2,41
2001;77154;11;77;772;7727;1154;Dammartin-sur-Tigeaux;;;;;
2001;77155;11;77;775;7743;1154;Dampmart;79,85;72,86;18,2;5,83;3,11
2001;77156;11;77;774;7724;1150;Darvault;;;;;
2001;77157;11;77;771;7715;1155;Dhuisy;;;;;
2001;77158;11;77;774;7716;1151;Diant;;;;;
2001;77159;11;77;773;7710;1152;Donnemarie-Dontilly;65,84;64,48;23,7;7,86;3,96
2001;77161;11;77;774;7721;1151;Dormelles;;;;;
2001;77162;11;77;771;7726;1153;Doue;;;;;
2001;77163;11;77;771;7715;1155;Douy-la-Ramée;;;;;
2001;77164;11;77;772;7705;1148;Échouboulains;;;;;
2001;77165;11;77;772;7705;1148;Écrennes (Les);;;;;
2001;77166;11;77;774;7721;1149;Écuelles;73,23;77;16,19;5,4;1,41
2001;77167;11;77;773;7710;1151;Égligny;;;;;
2001;77168;11;77;774;7716;1150;Égreville;;;;;
2001;77169;11;77;775;7738;1136;Émerainville;79,42;90,73;5,02;3,14;1,11
2001;77170;11;77;774;7721;1149;Épisy;;;;;
2001;77171;11;77;771;7708;1155;Esbly;77,48;73,44;17,41;3,7;5,45
2001;77172;11;77;773;7720;1151;Esmans;;;;;
2001;77173;11;77;771;7715;1155;Étrépilly;;;;;
2001;77174;11;77;773;7701;1152;Everly;;;;;
2001;77175;11;77;772;7702;1135;Évry-Grégy-sur-Yerre;85,22;79,95;12,91;5,26;1,88
2001;77176;11;77;771;7707;1153;Faremoutiers;71,27;72,77;16,93;7,17;3,13
2001;77177;11;77;772;7728;1135;Favières;;;;;
2001;77178;11;77;774;7724;1150;Faÿ-lès-Nemours;;;;;
2001;77179;11;77;772;7705;1149;Féricy;;;;;
2001;77180;11;77;772;7702;1135;Férolles-Attilly;;;;;
